,tweet,label (KMeans),label (HAC)
0,"@ikayulianip Memperlancar pembahasan uu omnibus di dprkan, yg pesenan pemerintah juga, ehem!",0,1
1,"UU Omnibus Law sudah dimenangkan oleh pemerintah, dan disambut antusias oleh banyak pemerintahan dunia serta pebisnis mancanegara. Kini ada banyak pihak yang ingin menanamkan investasinya di sini",1,0
2,@saddburryy jadi menurut anda apa urhensi pemerintah mengesahkan omnibus law ditengah pandemi?,0,0
3,"ada niat bagus dari Jokowi dengan adanya UU Omnibus Law Cipta Kerja ini. Jadi saya menilai pemerintah sudah tepat untuk meningkatkan investasi,” ujar Aelyn.  Indonesia Bisa Atasi Kovid #PengusahaSuksesBuruhMakmur",1,0
4,"Saya melihat di sini ada niat bagus dari Presiden Jokowi dengan adanya UU Omnibus Law Cipta Kerja ini. Jadi saya menilai pemerintah sudah tepat untuk meningkatkan investasi,  Indonesia Bisa Atasi Kovid #PengusahaSuksesBuruhMakmur",1,0
5,"1• Omnibus Law Cipta Kerja telah resmi menjadi UU. Kini pemerintah tengah menyusun sederet peraturan turunan yg menjadi pedoman pelaksanaan UU tsb.  Sesuai dgn pengaturan pd Ketentuan Penutup di Pasal 185,  Indonesia Bisa Atasi Kovid #PengusahaSuksesBuruhMakmur  https://t.co/bCbb3u2QCZ",1,0
6,@astrox88D @umar_chelsea75 @Menlu_RI Makanya gak salah kan kalau di atas saya bilang pemerintah selalu benar.   Emang rakyat bisa apa?  Demo omnibus law yg secara UU pembuatannya saja menyalahi UU pembentukan perundang-undangan tetap gak mempan kok. #KamiBersamaHabibana  #KamiBersamaHabibana,1,0
7,"semuanya yang berkerumun dbelakang pemerintah ini apa apa dibilang di bayar, logika nya aneh demo seindo tolak omnibus dibilang di bayar/ dibiayai , yang jemput HRS dibilang dibayar juga , jutaan orang melakukan seruan aksi dibilang dibayar dan ditunggangi.  LOGIKA KALIAN SAMPAH",1,0
8,"@WidasSatyo Serius nanya, emg massa yg nolak omnibus law kemarin diindahkan ya sama pemerintah mas?",0,1
9,"Untuk mengatasi krisis ini dan mencegah terjadinya resesi, maka pemerintah sudah mengesahkan omnibus law UU Cipta Kerja.  Indonesia Bisa Atasi Kovid #PengusahaSuksesBuruhMakmur",1,0
10,Yok lah ini sesuai prediksi kemarin. Pintu sudah dibuka.   I'll stick with my prediction. Akan ada perwakilan pemerintah yg akan berkunjung ke beliau dalam waktu dekat. Buat rekonsiliasi. Krna pemerintah masih ruwet hadepin massa yg nolak omnibus law.  :))),1,0
11,"UU Cipta Kerja omnibus law akan memangkas kerumitan birokrasi, dg begitu akan memangkas celah korupsi dan akan berkontribusi terhadap kinerja pemerintah.  Indonesia Bisa Atasi Kovid #PengusahaSuksesBuruhMakmur  https://t.co/lplkY5GsLB",1,0
12,Hadirnya UU Omnibus Law Cipta Kerja menunjukkan pemerintah berusaha membangkitkan ekonomi. Undang-undang tersebut menguntungkan pekerja dan tidak merugikan pengusaha.  Indonesia Bisa Atasi Kovid #PengusahaSuksesBuruhMakmur  https://t.co/4Ag6Z69HkO,1,0
